在具体的知识库网络中，节点对应着三元组的头实体和尾实体，边对应着三元组的关系。,节点,,,在具体的知识库网络中，节点对应着三元组的头实体和尾实体，边对应着三元组的关系,
虽然这种离散的符号化的表达方式可以非常有效地将数据结构化，但是在当前的大规模应用上也面临着巨大的挑战。,离散的符号化的表达方式,,,将数据结构化,
知识以基于离散符号的方法进行表达，但这些符号并不能在计算机中表达相应语义层面的信息，也不能进行语义计算，对下游的一些应用并不友好。,知识,,,基于离散符号的方法进行表达,
数据具有一定的稀疏性，现实中的知识图谱无论是实体还是关系都有长尾分布的情况，也就是某一个实体或关系具有极少的实例样本，这种现象会影响某些应用的准确率。,长尾分布,,,long tail distribution,
从上面的问题可以看出，对于当前的数据量较大的知识图谱、变化各异的应用来说，需要改进传统的表示方法。,知识图谱,,,改进传统的表示方法,
2.5.2词的向量表示方法在介绍有关知识图谱的向量表示方法之前，在此先介绍词的表示方法。,词的向量表示方法,,,"介绍有关知识图谱的向量表示方法之前,在此先介绍词的表示方法。",
2.5.2词的向量表示方法在介绍有关知识图谱的向量表示方法之前，在此先介绍词的表示方法。,词的向量表示方法,,,词的表示方法,
在自然语言处理领域中，因为离散符号化的词语并不能蕴涵语义信息，所以将词映射到向量空间，这不仅有利于进行相应的计算，在映射的过程中也能使相关的向量蕴涵一定的语义。,向量空间映射,,,将词映射到向量空间,
在自然语言处理领域中，因为离散符号化的词语并不能蕴涵语义信息，所以将词映射到向量空间，这不仅有利于进行相应的计算，在映射的过程中也能使相关的向量蕴涵一定的语义。,向量空间,,,vector space,
知识图谱中的向量表示方法也在此次有所借鉴。,知识图谱中的向量表示方法,,,此次,
1.独热编码传统的独热编码（One-Hot_Encoding）方法是将一个词表示成一个很长的向量，该向量的维度是整个词表的大小。,向量的维度,,,传统的独热编码（One-Hot_Encoding）方法,
1.独热编码传统的独热编码（One-Hot_Encoding）方法是将一个词表示成一个很长的向量，该向量的维度是整个词表的大小。,向量的维度,,,整个词表的大小,
对于某一个具体的词，在其独热表示的向量中，除了表示该词编号的维度为1，其余都为0。,向量的向量,,,独热表示的向量,
对于某一个具体的词，在其独热表示的向量中，除了表示该词编号的维度为1，其余都为0。,向量的向量,,,独热表示的向量,
如图2-19所示，假如词Rome的编号为1，则在其独热编码中，仅有维度1是1，其余都是0。,词Rome,,,独热编码,
如图2-19所示，假如词Rome的编号为1，则在其独热编码中，仅有维度1是1，其余都是0。,独热编码,,,one-hot-encoding,
这种表示方法虽然简单，但是可以看出其并没有编码语义层面的信息，稀疏性非常强，当整个词典非常大时，编码出向量的维度也会很大。,向量的维度,,,稀疏性非常强,
这种表示方法虽然简单，但是可以看出其并没有编码语义层面的信息，稀疏性非常强，当整个词典非常大时，编码出向量的维度也会很大。,向量的维度,,,编码出向量的维度,
"2.词袋模型词袋模型（Bag-of-Words,BoW）是一种对文本中词的表示方法。",词袋模型,,,对文本中词的表示方法,
"2.词袋模型词袋模型（Bag-of-Words,BoW）是一种对文本中词的表示方法。",词袋模型,,,"Bag-of-Words,BoW",
该方法将文本想象成一个装词的袋子，不考虑词之间的上下文关系，不关心词在袋子中存放的顺序，仅记录每个词在该文本（词袋）中出现的次数。,文本向量,,,词袋法,
该方法将文本想象成一个装词的袋子，不考虑词之间的上下文关系，不关心词在袋子中存放的顺序，仅记录每个词在该文本（词袋）中出现的次数。,文本向量,,,text vector,
具体的方法是先收集所有文本的可见词汇并组成一个词典，再对所有词进行编号，对于每个文本，可以使用一个表示每个词出现次数的向量来表示，该向量的每一个维度的数字表示该维度所指代的词在该文本中出现的次数。,向量的维度,,,表示每个词出现次数的向量,
具体的方法是先收集所有文本的可见词汇并组成一个词典，再对所有词进行编号，对于每个文本，可以使用一个表示每个词出现次数的向量来表示，该向量的每一个维度的数字表示该维度所指代的词在该文本中出现的次数。,向量,,,向量的每一个维度的数字表示该维度所指代的词在该文本中出现的次数,
如图2-20所示，在文本doc1中，Rome出现32次，Paris出现14次，France出现0次。,Rome,,,doc1,
如图2-20所示，在文本doc1中，Rome出现32次，Paris出现14次，France出现0次。,Rome,,,罗马,
如图2-20所示，在文本doc1中，Rome出现32次，Paris出现14次，France出现0次。,Paris,,,巴黎,
图2-19独热编码示例1图2-20独热编码示例23.词向量上面对词的表示方法并没有考虑语义层面的信息，为了更多地表示词与词之间的语义相似程度，提出词的分布式表示，也就是基于上下文的稠密向量表示法，通常称为词向量或词嵌入（Word_Embedding）。,词向量,,,基于上下文的稠密向量表示法,
图2-19独热编码示例1图2-20独热编码示例23.词向量上面对词的表示方法并没有考虑语义层面的信息，为了更多地表示词与词之间的语义相似程度，提出词的分布式表示，也就是基于上下文的稠密向量表示法，通常称为词向量或词嵌入（Word_Embedding）。,词向量,,,基于上下文的稠密向量表示法,
产生词向量的手段主要有三种：●Count-based。,产生词向量的手段,,,Count-based,
基于计数的方法，简单说就是记录文本中词的出现次数。,基于计数的方法,,,记录文本中词的出现次数,
●Predictive。,Predictive,,,概念/产品,
基于预测的方法，既可以通过上下文预测中心词，也可以通过中心词预测上下文。,基于预测的方法,,,通过上下文预测中心词或中心词预测上下文,
基于预测的方法，既可以通过上下文预测中心词，也可以通过中心词预测上下文。,基于预测的方法,,,based on prediction method,
●Task-based。,SPO,,,Task-based,
基于任务的，也就是通过任务驱动的方法。,基于任务的,,,通过任务驱动的方法,
通过对词向量在具体任务上的表现效果对词向量进行学习。,词向量,,,具体任务上的表现效果,
对词向量的产生方法到现在为止有较多的研究，在本章中并不展开讨论，下面简单介绍经典的开源工具word2vec[8]中包含的CBoW和Skip-gram两个模型。,word2vec,,,word2vec,
CBoW也就是连续词袋模型（Continuous_Bag-of-Words），和之前提到的BoW相似之处在于该模型也不用考虑词序的信息。,CBoW,,,连续词袋模型,
CBoW也就是连续词袋模型（Continuous_Bag-of-Words），和之前提到的BoW相似之处在于该模型也不用考虑词序的信息。,CBoW,,,连续词袋模型,
其主要思想是，用上下文预测中心词，从而训练出的词向量包含了一定的上下文信息。,上下文预测中心词,,,用上下文预测中心词，从而训练出的词向量包含了一定的上下文信息,
其主要思想是，用上下文预测中心词，从而训练出的词向量包含了一定的上下文信息。,上下文预测中心词,,,用上下文预测中心词,
"如图2-21（a）所示，其中wn是中心词，wn−2,wn−1,wn+1,wn+2为该中心词的上下文的词。",wn,,,中心词,
"如图2-21（a）所示，其中wn是中心词，wn−2,wn−1,wn+1,wn+2为该中心词的上下文的词。",等价,,,等价,
将上下文词的独热表示与词向量矩阵E相乘，提取相应的词向量并求和得到投影层，然后再经过一个Softmax层最终得到输出，输出的每一维表达的就是词表中每个词作为该上下文的中心词的概率。,投影层,,,将上下文词的独热表示与词向量矩阵E相乘,
将上下文词的独热表示与词向量矩阵E相乘，提取相应的词向量并求和得到投影层，然后再经过一个Softmax层最终得到输出，输出的每一维表达的就是词表中每个词作为该上下文的中心词的概率。,投影层,,,projection layer,
将上下文词的独热表示与词向量矩阵E相乘，提取相应的词向量并求和得到投影层，然后再经过一个Softmax层最终得到输出，输出的每一维表达的就是词表中每个词作为该上下文的中心词的概率。,输出,,,output,
整个模型在训练的过程就像是一个窗口在训练语料上进行滑动，所以被称为连续词袋模型。,连续词袋模型,,,窗口在训练语料上进行滑动,
整个模型在训练的过程就像是一个窗口在训练语料上进行滑动，所以被称为连续词袋模型。,连续词袋模型,,,continuous bag of words model,
Skip-gram的思想与CBoW恰恰相反，其考虑用中心词来预测上下文词。,Skip-gram,,,用中心词来预测上下文词,
Skip-gram的思想与CBoW恰恰相反，其考虑用中心词来预测上下文词。,Skip-gram,,,Skip-gram的思想与CBoW恰恰相反，其考虑用中心词来预测上下文词。,
如图2-21（b）所示，先通过中心词的独热表示从词向量矩阵中得到中心词的词向量得到投影层，然后经过一层Softmax得到输出，输出的每一维中代表某个词作为输入中心词的上下文出现的概率。,向量矩阵中得到中心词的词向量,,,投影层,
如图2-21（b）所示，先通过中心词的独热表示从词向量矩阵中得到中心词的词向量得到投影层，然后经过一层Softmax得到输出，输出的每一维中代表某个词作为输入中心词的上下文出现的概率。,投影层,,,projection layer,
图2-21CBoW模型在训练好的词向量中可以发现一些词的词向量在连续空间中的一些关系，如图2-22所示。,CBoW模型,,,在训练好的词向量中可以发现一些词的词向量在连续空间中的一些关系,
图2-21CBoW模型在训练好的词向量中可以发现一些词的词向量在连续空间中的一些关系，如图2-22所示。,CBoW,,,连续空间中的一些关系,
vec（Rome）−vec（Italy）≈vec（Paris）−vec（France）可以看出，Roma和Italy之间有is-capital-of的关系，而这种关系恰好也在Paris和France之间出现。,Roma,,,Rome,
vec（Rome）−vec（Italy）≈vec（Paris）−vec（France）可以看出，Roma和Italy之间有is-capital-of的关系，而这种关系恰好也在Paris和France之间出现。,Italy,,,is-capital-of,
vec（Rome）−vec（Italy）≈vec（Paris）−vec（France）可以看出，Roma和Italy之间有is-capital-of的关系，而这种关系恰好也在Paris和France之间出现。,Paris,,,France,
通过两对在语义上关系相同的词向量相减可以得出相近的结果，可以猜想出Roma和Italy的词向量通过简单的相减运算，得到了一种类似is-capital-of关系的连续向量，而这种关系的向量可以近似地平移到其他具有类似关系的两个词向量之间。,Roma,,,is-capital-of关系,
通过两对在语义上关系相同的词向量相减可以得出相近的结果，可以猜想出Roma和Italy的词向量通过简单的相减运算，得到了一种类似is-capital-of关系的连续向量，而这种关系的向量可以近似地平移到其他具有类似关系的两个词向量之间。,Roma,,,意大利,
这也说明了经过训练带有一定语义层面信息的词向量具有一定的空间平移性。,向量,,,空间平移性,
这也说明了经过训练带有一定语义层面信息的词向量具有一定的空间平移性。,空间平移性,,,spatial shiftness,
"图2-22词向量在连续空间中的关系上面所说的两个词之间的关系，恰好可以简单地理解成知识图谱中的关系（relation）、（Rome,is-capital-of,Italy）和（Paris,is-capital-of,France），可以看作是知识图谱中的三元组（triple），这对知识图谱的向量表示产生了一定的启发。",图2-22词向量在连续空间中的关系,,,知识图谱中的关系,
"图2-22词向量在连续空间中的关系上面所说的两个词之间的关系，恰好可以简单地理解成知识图谱中的关系（relation）、（Rome,is-capital-of,Italy）和（Paris,is-capital-of,France），可以看作是知识图谱中的三元组（triple），这对知识图谱的向量表示产生了一定的启发。",关系,,,relation,
"图2-22词向量在连续空间中的关系上面所说的两个词之间的关系，恰好可以简单地理解成知识图谱中的关系（relation）、（Rome,is-capital-of,Italy）和（Paris,is-capital-of,France），可以看作是知识图谱中的三元组（triple），这对知识图谱的向量表示产生了一定的启发。",三元组,,,triple,
2.5.3知识图谱嵌入的概念为了解决前面提到的知识图谱表示的挑战，在词向量的启发下，研究者考虑如何将知识图谱中的实体和关系映射到连续的向量空间，并包含一些语义层面的信息，可以使得在下游任务中更加方便地操作知识图谱，例如问答任务[9]、关系抽取[10]等。,知识图谱嵌入的概念,,,解决前面提到的知识图谱表示的挑战,
2.5.3知识图谱嵌入的概念为了解决前面提到的知识图谱表示的挑战，在词向量的启发下，研究者考虑如何将知识图谱中的实体和关系映射到连续的向量空间，并包含一些语义层面的信息，可以使得在下游任务中更加方便地操作知识图谱，例如问答任务[9]、关系抽取[10]等。,知识图谱嵌入的概念,,,embedding of knowledge graph,
对于计算机来说，连续向量的表达可以蕴涵更多的语义，更容易被计算机理解和操作。,连续向量的表达,,,计算机中语义的表达,
把这种将知识图谱中包括实体和关系的内容映射到连续向量空间方法的研究领域称为知识图谱嵌入（Knowledge_Graph（Representation_Learning）、知识表示学习。,知识图谱嵌入,,,知识表示学习,
把这种将知识图谱中包括实体和关系的内容映射到连续向量空间方法的研究领域称为知识图谱嵌入（Knowledge_Graph（Representation_Learning）、知识表示学习。,知识图谱嵌入,,,Knowledge_Graph（Representation_Learning）,
Embedding）、知识图谱的向量表示、知识图谱的表示学习类似于词向量，知识图谱嵌入也是通过机器学习的方法对模型进行学习，与独热编码、词袋模型的最大区别在于，知识图谱嵌入方法的训练需要基于监督学习。,知识图谱嵌入,,,机器学习的方法对模型进行学习,
Embedding）、知识图谱的向量表示、知识图谱的表示学习类似于词向量，知识图谱嵌入也是通过机器学习的方法对模型进行学习，与独热编码、词袋模型的最大区别在于，知识图谱嵌入方法的训练需要基于监督学习。,知识图谱嵌入,,,knowledge graph embedding,
在训练的过程中，可以学习一定的语义层信息，词向量具有的空间平移性也简单地说明了这点。,词向量,,,学习一定的语义层信息,
"类似于词向量，经典的知识图谱嵌入模型TransE的设计思想就是，如果一个三元组（h,r,t）成立，那么它们需要符合h+r≈t关系，例如：vec（Rome）+vec（is−capital−of）≈vec（Italy）所以，在知识图谱嵌入的学习过程中，不同的模型从不同的角度把相应的语义信息嵌入知识图谱的向量表示中，如图2-23所示。",TransE,,,transE,
图2-23语义信息嵌入知识图谱的向量表示中2.5.4知识图谱嵌入的优点研究者将目光从传统的知识图谱表示方法转移到知识图谱的嵌入方法，是因为与之前的方法相比，用向量表达实体和关系的知识图谱嵌入方法有很多优点。,知识图谱嵌入的优点,,,用向量表达实体和关系的知识图谱嵌入方法,
使用向量的表达方式可以提高应用时的计算效率，当把知识图谱的内容映射到向量空间时，相应的算法可以使用数值计算，所以计算的效率也会同时提高。,向量的表达方式,,,提高应用时的计算效率,
使用向量的表达方式可以提高应用时的计算效率，当把知识图谱的内容映射到向量空间时，相应的算法可以使用数值计算，所以计算的效率也会同时提高。,向量的表达方式,,,向量空间,
用向量表示后，知识图谱将更加适用于当前流行的机器学习算法，例如神经网络等方法。,知识图谱,,,向量表示,
因为下游应用输入的并不再是符号，所以可以考虑的方法也不会仅局限于图算法。,图算法,,,下游应用输入,
因为下游应用输入的并不再是符号，所以可以考虑的方法也不会仅局限于图算法。,下游应用,,,input,
将知识图谱嵌入作为下游应用的预训练向量输入，使得输入的信息不再是孤立的不包含语义信息的符号，而是已经经过一次训练，并且包含一定信息的向量。,知识图谱嵌入,,,下游应用的预训练向量输入,
将知识图谱嵌入作为下游应用的预训练向量输入，使得输入的信息不再是孤立的不包含语义信息的符号，而是已经经过一次训练，并且包含一定信息的向量。,知识图谱嵌入,,,knowledge graph embedding,
如上所述，知识图谱的嵌入方法可以提高计算的效率，增加下游应用的多样性，并可以作为预训练，为下游模型提供语义支持，所以对其展开的研究具有很大的应用价值和前景。,知识图谱的嵌入方法,,,"提高计算的效率,增加下游应用的多样性,并可以作为预训练,为下游模型提供语义支持,所以对其展开的研究具有很大的应用价值和前景。",
如上所述，知识图谱的嵌入方法可以提高计算的效率，增加下游应用的多样性，并可以作为预训练，为下游模型提供语义支持，所以对其展开的研究具有很大的应用价值和前景。,知识图谱的嵌入方法,,,embedding methods of knowledge graph,
2.5.5知识图谱嵌入的主要方法多数知识图谱嵌入模型主要依靠知识图谱中可以直接观察到的信息对模型进行训练，也就是说，根据知识图谱中所有已知的三元组训练模型。,知识图谱嵌入模型,,,根据知识图谱中所有已知的三元组训练模型,
对于这类方法，常常只需训练出来的实体表示和矩阵表示满足被用来训练的三元组即可，但是这样的结果往往并不能完全满足所有的下游任务。,用来训练的三元组,,,被用来训练,
对于这类方法，常常只需训练出来的实体表示和矩阵表示满足被用来训练的三元组即可，但是这样的结果往往并不能完全满足所有的下游任务。,概念/方法,,,等价,
所以，当前也有很多的研究者开始关注怎么利用一些除知识图谱之外的额外信息训练知识图谱嵌入。,知识图谱嵌入,,,利用一些除知识图谱之外的额外信息训练知识图谱嵌入,
所以，当前也有很多的研究者开始关注怎么利用一些除知识图谱之外的额外信息训练知识图谱嵌入。,知识图谱嵌入,,,knowledge graph embedding,
这些额外的信息包括实体类型（Entity_Types）、关系路径（Relation_Paths）等。,额外的信息,,,实体类型,
这些额外的信息包括实体类型（Entity_Types）、关系路径（Relation_Paths）等。,额外的信息,,,关系路径,
这些额外的信息包括实体类型（Entity_Types）、关系路径（Relation_Paths）等。,等价,,,Entity_Types,
这些额外的信息包括实体类型（Entity_Types）、关系路径（Relation_Paths）等。,等价,,,Relation_Paths,
根据有关知识图谱嵌入的综述[11]，将知识图谱嵌入的方法分类介绍如下。,知识图谱嵌入,,,将知识图谱嵌入的方法分类,
1.转移距离模型转移距离模型（Translational_Distance_Model）的主要思想是将衡量向量化后的知识图谱中三元组的合理性问题，转化成衡量头实体和尾实体的距离问题。,转移距离模型,,,衡量向量化后的知识图谱中三元组的合理性问题,
1.转移距离模型转移距离模型（Translational_Distance_Model）的主要思想是将衡量向量化后的知识图谱中三元组的合理性问题，转化成衡量头实体和尾实体的距离问题。,转移距离模型,,,Translational_Distance_Model,
这一方法的重点是如何设计得分函数，得分函数常常被设计成利用关系把头实体转移到尾实体的合理性的函数。,得分函数,,,设计得分函数,
这一方法的重点是如何设计得分函数，得分函数常常被设计成利用关系把头实体转移到尾实体的合理性的函数。,得分函数,,,evaluate the rationality of transferring the head entity to the tail entity,
受词向量的启发，由词与词在向量空间的语义层面关系，可以拓展到知识图谱中头实体和尾实体在向量空间的关系。,头实体,,,词与词在向量空间的语义层面关系,
也就是说，同样可以考虑把知识图谱中的头实体和尾实体映射到向量空间中，且它们之间的联系也可以考虑成三元组中的关系。,头实体,,,向量空间,
也就是说，同样可以考虑把知识图谱中的头实体和尾实体映射到向量空间中，且它们之间的联系也可以考虑成三元组中的关系。,头实体,,,head entity,
也就是说，同样可以考虑把知识图谱中的头实体和尾实体映射到向量空间中，且它们之间的联系也可以考虑成三元组中的关系。,尾实体,,,tail entity,
"TransE[12]便是受到了词向量中平移不变性的启发，在TransE中，把实体和关系都表示为向量，对于某一个具体的关系（head,relation,tail），把关系的向量表示解释成头实体的向量到尾实体的向量的转移向量（Translation_vector）。",TransE,,,向量的转移向量,
"TransE[12]便是受到了词向量中平移不变性的启发，在TransE中，把实体和关系都表示为向量，对于某一个具体的关系（head,relation,tail），把关系的向量表示解释成头实体的向量到尾实体的向量的转移向量（Translation_vector）。",TransE,,,Translation_vector,
也就是说，如果在一个知识图谱中，某一个三元组成立，则它的实体和关系需要满足关系head+relation≈tail。,三元组,,,关系head+relation≈tail,
也就是说，如果在一个知识图谱中，某一个三元组成立，则它的实体和关系需要满足关系head+relation≈tail。,关系head,,,关系头,
也就是说，如果在一个知识图谱中，某一个三元组成立，则它的实体和关系需要满足关系head+relation≈tail。,关系tail,,,关系尾,
2.语义匹配模型相比于转移距离模型，语义匹配模型（Semantic_Matching_Models），更注重挖掘向量化后的实体和关系的潜在语义。,语义匹配模型,,,转移距离模型,
2.语义匹配模型相比于转移距离模型，语义匹配模型（Semantic_Matching_Models），更注重挖掘向量化后的实体和关系的潜在语义。,语义匹配模型,,,Semantic_Matching_Models,
该方向的模型主要是RESCAL[13]以及它的延伸模型。,该方向的模型,,,RESCAL以及它的延伸模型,
RESCAL模型的核心思想是将整个知识图谱编码为一个三维张量，由这个张量分解出一个核心张量和一个因子矩阵，核心张量中每个二维矩阵切片代表一种关系，因子矩阵中每一行代表一个实体。,核心张量,,,将整个知识图谱编码为一个三维张量,
由核心张量和因子矩阵还原的结果被看作对应三元组成立的概率，如果概率大于某个阈值，则对应三元组正确；否则不正确。,由核心张量和因子矩阵还原的结果,,,对应三元组成立的概率,
由核心张量和因子矩阵还原的结果被看作对应三元组成立的概率，如果概率大于某个阈值，则对应三元组正确；否则不正确。,对应三元组成立的概率,,,对应三元组成立的概率,
其得分函数可以写成DistMul[14]通过限制Mr为对角矩阵简化RESCAL模型，也就是说其限制Mr=diag（r）。,DistMul,,,得分函数,
其得分函数可以写成DistMul[14]通过限制Mr为对角矩阵简化RESCAL模型，也就是说其限制Mr=diag（r）。,DistMul,,,得分函数,
但因为是对角矩阵，所以存在h⊺diag（r）t=t⊺diag（r）h，也就是说这种简化的模型只天然地假设所有关系是对称的，显然这是不合理的。,对角矩阵,,,diagonal matrix,
ComplEx[15]模型考虑到复数的乘法不满足交换律，所以在该模型中实体和关系的向量表示不再依赖实数而是放在了复数域，从而其得分函数不具有对称性。,ComplEx模型,,,不考虑交换律,
ComplEx[15]模型考虑到复数的乘法不满足交换律，所以在该模型中实体和关系的向量表示不再依赖实数而是放在了复数域，从而其得分函数不具有对称性。,ComplEx模型,,,ComplEx模型,
也就是说，对于非对称的关系，将三元组中的头实体和尾实体调换位置后可以得到不同的分数。,非对称的关系,,,三元组中的头实体和尾实体调换位置后可以得到不同的分数,
也就是说，对于非对称的关系，将三元组中的头实体和尾实体调换位置后可以得到不同的分数。,非对称的关系,,,将三元组中的头实体和尾实体调换位置后可以得到不同的分数,
3.考虑附加信息的模型除了仅仅依靠知识库中的三元组构造知识图谱嵌入的模型，还有一些模型考虑额外的附加信息进行提升。,考虑附加信息的模型,,,仅仅依靠知识库中的三元组构造知识图谱嵌入的模型,
3.考虑附加信息的模型除了仅仅依靠知识库中的三元组构造知识图谱嵌入的模型，还有一些模型考虑额外的附加信息进行提升。,考虑附加信息的模型,,,考虑附加信息的模型,
实体类型是一种容易考虑的额外信息。,实体类型,,,容易考虑的额外信息,
在知识库中，一般会给每个实体设定一定的类别，例如Rome具有city的属性、Italy具有country的属性。,Rome,,,city,
在知识库中，一般会给每个实体设定一定的类别，例如Rome具有city的属性、Italy具有country的属性。,Italy,,,country,
"最简单的考虑实体类型的方法是在知识图谱中设立类似于IsA这样的可以表示实体属性的关系，例如（Rome,IsA,city）（Italy,IsA,Country）这样的三元组。",IsA,,,实体类型的考虑方法,
"最简单的考虑实体类型的方法是在知识图谱中设立类似于IsA这样的可以表示实体属性的关系，例如（Rome,IsA,city）（Italy,IsA,Country）这样的三元组。",等价,,,IsA,
当训练知识图谱嵌入的时候，考虑这样的三元组就可以将属性信息考虑到向量表示中。,三元组,,,将属性信息考虑到向量表示中,
也有一些方法[16]考虑相同类型的实体需要在向量表示上更加接近。,方法,,,考虑相同类型的实体需要在向量表示上更加接近,
"关系路径也可以称为实体之间的多跳关系（Multi-hop_Relationships），一般就是指可以连接两个实体的关系链，例如（Rome,is−capital−of,Italy）（Italy,is−country−of,Europe）.从Rome到Europe的关系路径就是一条is−capital−of→is−country−of关系链。",关系路径,,,实体之间的多跳关系,
"关系路径也可以称为实体之间的多跳关系（Multi-hop_Relationships），一般就是指可以连接两个实体的关系链，例如（Rome,is−capital−of,Italy）（Italy,is−country−of,Europe）.从Rome到Europe的关系路径就是一条is−capital−of→is−country−of关系链。",关系路径,,,Multi-hop_Relationships,
当前很多方法也尝试考虑关系路径来提升嵌入模型，这里的关键问题是考虑如何用相同的向量表达方式来表达路径。,向量表达方式,,,考虑如何用相同的向量表达方式来表达路径,
当前很多方法也尝试考虑关系路径来提升嵌入模型，这里的关键问题是考虑如何用相同的向量表达方式来表达路径。,等价,,,等价,
在基于路径的TransE，也就是PTransE[17]中，考虑了相加、相乘和RNN三种用关系表达关系路径的方法：p=r1+r2+⋯+rlp=r1∙r2∙⋯∙rlci=f（W[ci−1;ri]）.在基于RNN的方法中，令c1=r1并且一直遍历路径中的关系，直到最终p=cn。,相加,,,p=r1+r2+⋯+rl,
在基于路径的TransE，也就是PTransE[17]中，考虑了相加、相乘和RNN三种用关系表达关系路径的方法：p=r1+r2+⋯+rlp=r1∙r2∙⋯∙rlci=f（W[ci−1;ri]）.在基于RNN的方法中，令c1=r1并且一直遍历路径中的关系，直到最终p=cn。,相乘,,,p=r1∙r2∙⋯∙rl,
在基于路径的TransE，也就是PTransE[17]中，考虑了相加、相乘和RNN三种用关系表达关系路径的方法：p=r1+r2+⋯+rlp=r1∙r2∙⋯∙rlci=f（W[ci−1;ri]）.在基于RNN的方法中，令c1=r1并且一直遍历路径中的关系，直到最终p=cn。,RNN,,,c=f（W[ci−1;ri]）.在基于RNN的方法中，令c1=r1并且一直遍历路径中的关系，直到最终p=cn。,
对于某一个知识库中存在的三元组，其两个实体间的关系路径p需要和原本两个实体间关系的向量表示相接近。,知识库中存在的三元组,,,两个实体间的关系路径p,
对于某一个知识库中存在的三元组，其两个实体间的关系路径p需要和原本两个实体间关系的向量表示相接近。,关系路径,,,p需要和原本两个实体间关系的向量表示相接近,
文本描述（Textual_Descriptions）指的是在一些知识图谱中，对实体有一些简要的文本描述，如图2-24所示，这些描述本身具有一定的语义信息，对提高嵌入的质量有一定的提升。,文本描述,,,对实体有一些简要的文本描述,
除了某些知识库本身具有的文本描述，也可以使用外部的文本信息和语料库。,知识问答系统,,,外部的文本信息和语料库,
除了某些知识库本身具有的文本描述，也可以使用外部的文本信息和语料库。,知识库,,,knowledge base,
Wang[18]提出了一种在知识图谱嵌入的过程中使用文本信息的联合模型，该模型分三个部分：知识模型、文本模型和对齐模型。,Wang[18],,,在知识图谱嵌入的过程中使用文本信息的联合模型,
Wang[18]提出了一种在知识图谱嵌入的过程中使用文本信息的联合模型，该模型分三个部分：知识模型、文本模型和对齐模型。,知识模型,,,知识模型的联合模型,
其中，知识模型对知识图谱中的实体和关系做嵌入，这是一个TransE的变种；文本模型对语料库中词语进行向量化，这是一个Skip-gram模型的变种；对齐模型用来保证知识图谱中的实体和关系与单词的嵌入在同一个空间中。,知识模型,,,TransE的变种,
其中，知识模型对知识图谱中的实体和关系做嵌入，这是一个TransE的变种；文本模型对语料库中词语进行向量化，这是一个Skip-gram模型的变种；对齐模型用来保证知识图谱中的实体和关系与单词的嵌入在同一个空间中。,文本模型,,,Skip-gram模型的变种,
联合模型在训练时降低来自三个子模型的损失之和。,联合模型,,,降低来自三个子模型的损失之和,
"图2-24文本描述示例逻辑规则（Logical_Rules）也是常被用来考虑的附加信息，这里讨论的重点主要是霍恩子句，例如简单规则∀x,y:IsDirectorOf（x,y）⇒BeDirectedBy（y,x）说明了两个不同的关系之间的关系。",Logical_Rules,,,附加信息,
"图2-24文本描述示例逻辑规则（Logical_Rules）也是常被用来考虑的附加信息，这里讨论的重点主要是霍恩子句，例如简单规则∀x,y:IsDirectorOf（x,y）⇒BeDirectedBy（y,x）说明了两个不同的关系之间的关系。",等价,,,equivalence,
"图2-24文本描述示例逻辑规则（Logical_Rules）也是常被用来考虑的附加信息，这里讨论的重点主要是霍恩子句，例如简单规则∀x,y:IsDirectorOf（x,y）⇒BeDirectedBy（y,x）说明了两个不同的关系之间的关系。",英文名,,,equivalence,
Guo[19]提出了一种以规则为指导的知识图谱嵌入方法，其中提出的软规则（Soft_rule）指的是使用AMIE+规则学习方法在知识图谱中挖掘的带有置信度的规则，该方法的整体框架是一个迭代的过程，其中包含两个部分，称为软标签预测阶段（Soft_Label_Prediction）和嵌入修正阶段（Embedding_Rectification）。,软标签预测阶段,,,Soft_Label_Prediction,
Guo[19]提出了一种以规则为指导的知识图谱嵌入方法，其中提出的软规则（Soft_rule）指的是使用AMIE+规则学习方法在知识图谱中挖掘的带有置信度的规则，该方法的整体框架是一个迭代的过程，其中包含两个部分，称为软标签预测阶段（Soft_Label_Prediction）和嵌入修正阶段（Embedding_Rectification）。,嵌入修正阶段,,,Embedding_Rectification,
简单来说，就是讲规则学习和知识图谱嵌入学习互相迭代，最后使得知识图谱嵌入可以融入一定的规则信息。,知识图谱嵌入,,,规则学习和知识图谱嵌入学习,
简单来说，就是讲规则学习和知识图谱嵌入学习互相迭代，最后使得知识图谱嵌入可以融入一定的规则信息。,知识图谱嵌入,,,knowledge graph embedding,
2.5.6知识图谱嵌入的应用在知识图谱嵌入的发展中，也有很多的相关应用一起发展起来，它们和知识图谱嵌入之间有着相辅相成的关系。,知识图谱嵌入的应用,,,知识图谱嵌入的发展,
2.5.6知识图谱嵌入的应用在知识图谱嵌入的发展中，也有很多的相关应用一起发展起来，它们和知识图谱嵌入之间有着相辅相成的关系。,知识图谱嵌入的应用,,,application of knowledge graph embedding,
本小节将简单介绍一些典型的应用。,本小节,,,典型的应用,
1.链接预测链接预测（Link_Prediction）指通过一个已知的实体和关系预测另一个实体，或者通过两个实体预测关系。,链接预测,,,链接预测（Link_Prediction）,
1.链接预测链接预测（Link_Prediction）指通过一个已知的实体和关系预测另一个实体，或者通过两个实体预测关系。,链接预测,,,Link_Prediction,
